Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msSinceInput
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.00495280000000,0.07750000000000,6.21760000000000,1,Hardware: Independent Flip,7.12660000000000,7.12660000000000,6.17890000000000,0.00000000000000,0.94770000000000,6.16260000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.01124880000000,0.08710000000000,6.29600000000000,1,Hardware: Independent Flip,6.89190000000000,6.89190000000000,6.06130000000000,0.00000000000000,0.83060000000000,6.04870000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.01732660000000,0.08080000000000,6.07780000000000,1,Hardware: Independent Flip,6.94880000000000,6.94880000000000,6.13470000000000,0.00000000000000,0.81410000000000,6.12250000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.02336410000000,0.07670000000000,6.03750000000000,1,Hardware: Independent Flip,7.32030000000000,7.32030000000000,6.40900000000000,0.00000000000000,0.91130000000000,6.39850000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.02964320000000,0.07960000000000,6.27910000000000,1,Hardware: Independent Flip,7.20540000000000,7.20540000000000,6.16420000000000,0.00000000000000,1.04120000000000,6.15290000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.03615800000000,0.07840000000000,6.51480000000000,1,Hardware: Independent Flip,6.88060000000000,6.88060000000000,6.19000000000000,0.00000000000000,0.69060000000000,6.17650000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.04186760000000,0.08160000000000,5.70960000000000,1,Hardware: Independent Flip,7.39660000000000,7.39660000000000,6.22560000000000,0.00000000000000,1.17100000000000,6.21620000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.04818430000000,0.07920000000000,6.31670000000000,1,Hardware: Independent Flip,7.33450000000000,7.33450000000000,6.25460000000000,0.00000000000000,1.07990000000000,6.24560000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.05418450000000,0.07500000000000,6.00020000000000,1,Hardware: Independent Flip,7.54740000000000,7.54740000000000,6.21310000000000,0.00000000000000,1.33430000000000,6.20490000000000,0.00000000000000
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,0,2.06021460000000,0.09170000000000,6.03010000000000,1,Hardware: Independent Flip,7.94670000000000,7.94670000000000,6.42940000000000,0.00000000000000,1.51730000000000,6.40540000000000,0.00000000000000
